"","Ticker","SimFinId","Company.Name","IndustryId","Sector","Industry","Report.Date","Fiscal.Year","Return.On.Assets","Book.to.Market.Ratio","Earning.Per.Share","Sales.Per.Share","Price.to.Earning.Ratio","Return.On.Assets.t","Return.On.Assets.out","Earning.Per.Share.t","Earning.Per.Share.out","Sales.Per.Share.t","Sales.Per.Share.out","Price.to.Earning.Ratio.t","Price.to.Earning.Ratio.out","Book.to.Market.Ratio.t","Book.to.Market.Ratio.out"
"2889","DATA",711049,"Tableau Software Inc",101003,"Technology","Application Software","2015-12-31",2015,-0.0019520505747974,0.108641362497225,-1.1673477357359,9.11545166734076,-80.7128819593787,1.56554815302671,"False",3.08285742311644,"False",2.2099709589974,"False",9.34218840349835,"False",-2.21970307385473,"False"
"2890","DATA",711049,"Tableau Software Inc",101003,"Technology","Application Software","2016-12-31",2016,-0.0648516662924692,0.249945842563298,-1.92183550198238,11.0021420398606,-21.9321580627073,1.55231665294441,"False",3.04766874499074,"False",2.39808998473719,"False",9.34732715614952,"False",-1.38651101433431,"False"
"2891","DATA",711049,"Tableau Software Inc",101003,"Technology","Application Software","2017-12-31",2017,-0.0873265918165278,0.138083477416308,-2.35276217525263,11.120452902915,-29.4122375511964,1.54754607263542,"False",3.02700077025796,"False",2.40878601667245,"False",9.34667469406216,"False",-1.97989686789469,"False"
"2892","DATA",711049,"Tableau Software Inc",101003,"Technology","Application Software","2018-12-31",2018,0.010453134319228,0.102218773195211,-0.932350663181334,13.9818956336528,-128.706939072194,1.56813715273904,"False",3.09356931917084,"False",2.63776332372585,"False",9.33797297586267,"False",-2.28063992732612,"False"
"2893","DBD",770497,"DIEBOLD NIXDORF, Inc",101003,"Technology","Application Software","2010-12-31",2010,0.872040527186789,0.468591077386097,-0.307281472377744,42.8451150864096,-104.301765257752,1.73329841968992,"False",3.12151568880969,"False",3.7575916382281,"False",9.34011875854207,"False",-0.758024794092505,"False"
"2894","DBD",770497,"DIEBOLD NIXDORF, Inc",101003,"Technology","Application Software","2011-12-31",2011,0.863355793954421,0.440518405155226,2.22476540313619,43.7684899370293,13.5160318286194,1.73176264328632,"False",3.22735090605364,"False",3.77891415065403,"False",9.35041340624216,"False",-0.819803052060544,"False"
"2895","DBD",770497,"DIEBOLD NIXDORF, Inc",101003,"Technology","Application Software","2012-12-31",2012,0.886791565094619,0.422622578933631,1.15159432988078,46.808101511406,26.5805407388286,1.73590154608347,"False",3.18385390798434,"False",3.84605629716001,"False",9.35154845272699,"False",-0.861275746610233,"False"
"2896","DBD",770497,"DIEBOLD NIXDORF, Inc",101003,"Technology","Application Software","2013-12-31",2013,0.844335973906006,0.295241392527929,-2.85086342229199,40.5447409733124,-11.5789482378855,1.72839098631158,"False",3.00256629750142,"False",3.7024060797539,"False",9.34822952988998,"False",-1.21996197749498,"False"
"2897","DBD",770497,"DIEBOLD NIXDORF, Inc",101003,"Technology","Application Software","2014-12-31",2014,0.892105375517698,0.24564672211281,1.75460122699387,41.9447852760736,19.7423776223776,1.73683762036221,"False",3.20852698922791,"False",3.73635411710703,"False",9.35095451278538,"False",-1.40386086418616,"False"
"2898","DBD",770497,"DIEBOLD NIXDORF, Inc",101003,"Technology","Application Software","2015-12-31",2015,0.793881555476275,0.220628764114162,1.1234756097561,36.8795731707317,26.7829579375848,1.71939142581343,"False",3.18268839147455,"False",3.6076578251597,"False",9.35156602863227,"False",-1.51127379029944,"False"
"2899","DBD",770497,"DIEBOLD NIXDORF, Inc",101003,"Technology","Application Software","2016-12-31",2016,0.438324194068649,0.615065036697327,-0.477568740955138,47.9927641099855,-52.6625757575758,1.65356455966247,"False",3.11397934663311,"False",3.87105025183568,"False",9.34464392315745,"False",-0.486027266039472,"False"
