"","Ticker","SimFinId","Company.Name","IndustryId","Sector","Industry","Report.Date","Fiscal.Year","Long Term Debt","Income Tax (Expense) Benefit, Net","Shares (Diluted)","Revenue","Inventories"
"7100","KLIC",362126,"KULICKE & SOFFA INDUSTRIES INC",101004,"Technology","Semiconductors","2010-10-31",2010,98475000,2037000,73548000,762784000,73893000
"7101","KLIC",362126,"KULICKE & SOFFA INDUSTRIES INC",101004,"Technology","Semiconductors","2011-10-31",2011,580631475.710938,-34818000,73341000,830401000,73092000
"7102","KLIC",362126,"KULICKE & SOFFA INDUSTRIES INC",101004,"Technology","Semiconductors","2012-10-31",2012,531529993.800598,-13671000,75502000,791023000,58994000
"7103","KLIC",362126,"KULICKE & SOFFA INDUSTRIES INC",101004,"Technology","Semiconductors","2013-10-31",2013,515105736.265869,-7310000,76190000,534938000,38135000
"7104","KLIC",362126,"KULICKE & SOFFA INDUSTRIES INC",101004,"Technology","Semiconductors","2014-10-31",2014,512193614.431274,-14145000,77292000,568569000,49694000
"7105","KLIC",362126,"KULICKE & SOFFA INDUSTRIES INC",101004,"Technology","Semiconductors","2015-10-31",2015,506141590.267578,12934000,75659000,536471000,79096000
"7106","KLIC",362126,"KULICKE & SOFFA INDUSTRIES INC",101004,"Technology","Semiconductors","2016-10-31",2016,518770092.683594,-7638000,70841000,627192000,87295000
"7107","KLIC",362126,"KULICKE & SOFFA INDUSTRIES INC",101004,"Technology","Semiconductors","2017-10-31",2017,541547592.679138,8135000,72063000,809041000,122023000
"7108","KLIC",362126,"KULICKE & SOFFA INDUSTRIES INC",101004,"Technology","Semiconductors","2018-10-31",2018,562929011.68988,-120744000,70419000,889121000,115191000
"7109","KLXI",98588,"KLX Inc.",100008,"Industrials","Aerospace & Defense","2016-01-31",2015,1177200000,228300000,62027800,1567400000,1322100000
"7110","KLXI",98588,"KLX Inc.",100008,"Industrials","Aerospace & Defense","2017-01-31",2016,1.182e+09,-5300000,61909200,1494100000,1381400000
"7111","KLXI",98588,"KLX Inc.",100008,"Industrials","Aerospace & Defense","2018-01-31",2017,1184600000,-87100000,61909200,1740800000,1407900000
"7112","KMB",384594,"KIMBERLY CLARK CORP",102002,"Consumer Defensive","Consumer Packaged Goods","2008-12-31",2008,4.882e+09,-6.18e+08,419600000,1.9415e+10,2.493e+09
"7113","KMB",384594,"KIMBERLY CLARK CORP",102002,"Consumer Defensive","Consumer Packaged Goods","2009-12-31",2009,4.792e+09,-7.46e+08,416800000,1.9115e+10,2.033e+09
"7114","KMB",384594,"KIMBERLY CLARK CORP",102002,"Consumer Defensive","Consumer Packaged Goods","2010-12-31",2010,5.12e+09,-7.88e+08,414400000,1.9746e+10,2.373e+09
"7115","KMB",384594,"KIMBERLY CLARK CORP",102002,"Consumer Defensive","Consumer Packaged Goods","2011-12-31",2011,5.426e+09,-6.6e+08,398600000,2.0846e+10,2.356e+09
"7116","KMB",384594,"KIMBERLY CLARK CORP",102002,"Consumer Defensive","Consumer Packaged Goods","2012-12-31",2012,5.07e+09,-6.6e+08,396100000,1.9467e+10,2.348e+09
"7117","KMB",384594,"KIMBERLY CLARK CORP",102002,"Consumer Defensive","Consumer Packaged Goods","2013-12-31",2013,5.386e+09,-8.28e+08,387300000,1.9561e+10,2.233e+09
"7118","KMB",384594,"KIMBERLY CLARK CORP",102002,"Consumer Defensive","Consumer Packaged Goods","2014-12-31",2014,5.63e+09,-8.56e+08,377400000,1.9724e+10,1.892e+09
"7119","KMB",384594,"KIMBERLY CLARK CORP",102002,"Consumer Defensive","Consumer Packaged Goods","2015-12-31",2015,6.106e+09,-4.18e+08,366300000,1.8591e+10,1.909e+09
"7120","KMB",384594,"KIMBERLY CLARK CORP",102002,"Consumer Defensive","Consumer Packaged Goods","2016-12-31",2016,6.439e+09,-9.22e+08,361700000,1.8202e+10,1.679e+09
"7121","KMB",384594,"KIMBERLY CLARK CORP",102002,"Consumer Defensive","Consumer Packaged Goods","2017-12-31",2017,6.472e+09,-7.76e+08,355900000,1.8259e+10,1.79e+09
"7122","KMB",384594,"KIMBERLY CLARK CORP",102002,"Consumer Defensive","Consumer Packaged Goods","2018-12-31",2018,6.247e+09,-4.71e+08,349600000,1.8486e+10,1.813e+09
"7123","KMG",51451,"KMG CHEMICALS INC",110001,"Basic Materials","Chemicals","2011-07-31",2011,41279000,-5061000,11489000,255596000,41770000
"7124","KMG",51451,"KMG CHEMICALS INC",110001,"Basic Materials","Chemicals","2012-07-31",2012,2.4e+07,-8754000,11528000,272700000,40661000
"7125","KMG",51451,"KMG CHEMICALS INC",110001,"Basic Materials","Chemicals","2013-07-31",2013,8.5e+07,-5715000,11578000,263311000,53387000
"7126","KMG",51451,"KMG CHEMICALS INC",110001,"Basic Materials","Chemicals","2014-07-31",2014,6e+07,-1254000,11615000,353406000,45268000
"7127","KMG",51451,"KMG CHEMICALS INC",110001,"Basic Materials","Chemicals","2015-07-31",2015,5.3e+07,-6746000,11779000,320498000,42082000
"7128","KMG",51451,"KMG CHEMICALS INC",110001,"Basic Materials","Chemicals","2016-07-31",2016,35800000,-9555000,11926000,297978000,37401000
"7129","KMG",51451,"KMG CHEMICALS INC",110001,"Basic Materials","Chemicals","2017-07-31",2017,523102000,-8809000,12286000,333442000,46482000
"7130","KMG",51451,"KMG CHEMICALS INC",110001,"Basic Materials","Chemicals","2018-07-31",2018,306119000,442000,15111000,465556000,54218000
"7131","KMI",88392,"KINDER MORGAN, INC.",107003,"Energy","Oil & Gas - Midstream","2010-12-31",2010,13056600000,-1.66e+08,1.036e+09,7.852e+09,9.2e+07
"7132","KMI",88392,"KINDER MORGAN, INC.",107003,"Energy","Oil & Gas - Midstream","2011-12-31",2011,1.3161e+10,-3.61e+08,1.036e+09,7.943e+09,1.72e+08
"7133","KMI",88392,"KINDER MORGAN, INC.",107003,"Energy","Oil & Gas - Midstream","2012-12-31",2012,2.9409e+10,-1.39e+08,1.036e+09,9.973e+09,3.74e+08
"7134","KMI",88392,"KINDER MORGAN, INC.",107003,"Energy","Oil & Gas - Midstream","2013-12-31",2013,3.181e+10,-7.42e+08,1.036e+09,1.407e+10,4.3e+08
"7135","KMI",88392,"KINDER MORGAN, INC.",107003,"Energy","Oil & Gas - Midstream","2014-12-31",2014,3.8212e+10,-6.48e+08,1.137e+09,1.6226e+10,4.59e+08
"7136","KMI",88392,"KINDER MORGAN, INC.",107003,"Energy","Oil & Gas - Midstream","2015-12-31",2015,4.0632e+10,-5.64e+08,2.193e+09,1.4403e+10,4.07e+08
"7137","KMI",88392,"KINDER MORGAN, INC.",107003,"Energy","Oil & Gas - Midstream","2016-12-31",2016,3.6105e+10,-9.17e+08,2.23e+09,1.3058e+10,3.57e+08
"7138","KMI",88392,"KINDER MORGAN, INC.",107003,"Energy","Oil & Gas - Midstream","2017-12-31",2017,3.3988e+10,-1.938e+09,2.23e+09,1.3705e+10,4.24e+08
"7139","KMI",88392,"KINDER MORGAN, INC.",107003,"Energy","Oil & Gas - Midstream","2018-12-31",2018,3.3105e+10,-5.87e+08,2.216e+09,1.4144e+10,3.85e+08
"7140","KMX",327637,"CARMAX INC",103005,"Consumer Cyclical","Autos","2010-02-28",2009,27371000,-168608000,222234000,7470193000,843133000
"7141","KMX",327637,"CARMAX INC",103005,"Consumer Cyclical","Autos","2011-02-28",2010,4248759000,-230711000,227601000,8975554000,1049477000
"7142","KMX",327637,"CARMAX INC",103005,"Consumer Cyclical","Autos","2012-02-29",2011,4863318000,-253115000,230721000,10003599000,1092592000
"7143","KMX",327637,"CARMAX INC",103005,"Consumer Cyclical","Autos","2013-02-28",2012,6009627000,-267067000,231823000,10962818000,1517813000
"7144","KMX",327637,"CARMAX INC",103005,"Consumer Cyclical","Autos","2014-02-28",2013,7340431000,-304736000,227584000,12574299000,1641424000
"7145","KMX",327637,"CARMAX INC",103005,"Consumer Cyclical","Autos","2015-02-28",2014,8818750000,-371973000,218691000,14268716000,2086874000
"7146","KMX",327637,"CARMAX INC",103005,"Consumer Cyclical","Autos","2016-02-29",2015,10320658000,-386516000,205540000,15149675000,1932029000
"7147","KMX",327637,"CARMAX INC",103005,"Consumer Cyclical","Autos","2017-02-28",2016,11826438000,-379435000,192215000,15875118000,2260563000
"7148","KMX",327637,"CARMAX INC",103005,"Consumer Cyclical","Autos","2018-02-28",2017,12752812000,-399496000,184470000,17120209000,2390694000
"7149","KND",510383,"KINDRED HEALTHCARE, INC",106011,"Healthcare","Health Care Providers","2010-12-31",2010,365556000,-34173000,38954000,4346984000,24327000
"7150","KND",510383,"KINDRED HEALTHCARE, INC",106011,"Healthcare","Health Care Providers","2011-12-31",2011,1531882000,14041000,46280000,4212526000,31060000
"7151","KND",510383,"KINDRED HEALTHCARE, INC",106011,"Healthcare","Health Care Providers","2012-12-31",2012,1648706000,-30341000,51659000,4793342000,32021000
"7152","KND",510383,"KINDRED HEALTHCARE, INC",106011,"Healthcare","Health Care Providers","2013-12-31",2013,1579391000,10493000,52249000,4775235000,25780000
"7153","KND",510383,"KINDRED HEALTHCARE, INC",106011,"Healthcare","Health Care Providers","2014-12-31",2014,2852531000,-462000,58634000,5027599000,25702000
"7154","KND",510383,"KINDRED HEALTHCARE, INC",106011,"Healthcare","Health Care Providers","2015-12-31",2015,3086348000,42797000,84558000,7054907000,27791000
"7155","KND",510383,"KINDRED HEALTHCARE, INC",106011,"Healthcare","Health Care Providers","2016-12-31",2016,3215062000,-314330000,86800000,7219519000,22438000
"7156","KND",510383,"KINDRED HEALTHCARE, INC",106011,"Healthcare","Health Care Providers","2017-12-31",2017,3146972000,157116000,87525000,6034123000,21716000
"7157","KO",82117,"COCA COLA CO",102005,"Consumer Defensive","Beverages - Non-Alcoholic","2008-12-31",2008,2.781e+09,-1.632e+09,4.672e+09,3.1944e+10,2.187e+09
